id,upper,lower,type,content,number,,,,,
,,,,,,,,,,
奖励规则组,排名上限,排名下限,奖励类型,奖励内容,奖励数量,,,,,
1,1,1,8,0,2000,,,,,
2,2,2,8,0,1500,,,,,
3,3,3,8,0,1000,,,,,
4,4,10,8,0,700,,,,,
5,11,50,8,0,500,,,,,
6,51,200,8,0,300,,,,,
7,201,500,8,0,200,,,,,
8,501,1000,8,0,150,,,,,
9,1001,0,8,0,100,,,,,
1,1,1,4,0,100000,,,,,
2,2,2,4,0,80000,,,,,
3,3,3,4,0,60000,,,,,
4,4,10,4,0,40000,,,,,
5,11,50,4,0,20000,,,,,
6,51,200,4,0,10000,,,,,
7,201,500,4,0,8000,,,,,
8,501,1000,4,0,6000,,,,,
9,1001,0,4,0,4000,,,,,
1,1,1,1,24004,10,,,,,
2,2,2,1,24004,8,,,,,
3,3,3,1,24004,6,,,,,
4,4,10,1,24004,4,,,,,
5,11,50,1,24004,2,,,,,
6,51,200,1,24003,4,,,,,
7,201,500,1,24003,3,,,,,
8,501,1000,1,24003,2,,,,,
9,1001,0,1,24003,1,,,,,
,,,,,,,,,,
