id,content
,
id,内容
1,侠客的升级不受玩家等级的限制，但是会受到侠客当前星级的限制。
2,侠客的技能有着各种不同的效果，在战斗时合理使用往往有意想不到的好效果。
3,强化和升星装备可以大幅度提高侠客的战斗力。
4,侠客经验池的经验上限随着玩家等级而增加。
5,侠客经验池满后玩家获得的侠客经验会流失，所以请不要吝啬，尽量升级你的英雄。
6,华山论剑不会消耗你的行动值和竞技值，所以请每天放心大胆地参与吧！
7,行囊满后，在副本中获得的道具奖励会通过邮件发送到玩家手中。
8,银两招募和元宝招募每隔一段时间后都可以免费使用一次。
9,议事堂等级越高，领取俸禄时获得的道具越多。
10,每达到一定等级，养心殿中都会增加一个打坐位置。
11,合体技会输出成吨的伤害，可能瞬间扭转战局，但达到足够的能量也更加缓慢。
12,疲劳值为100的侠客是无法参与战斗的，需要到养心殿中进行挂机恢复。
13,在江湖中，当你的门派被进攻时，可以使用封山令获得喘息时间。
14,成为VIP后，每天可以购买的体力次数会增多。
15,服务器中每当有一个玩家达到VIP7、VIP8、VIP9、VIP10时，全服玩家都会获得一个礼包。
16,体力道具的使用时没有限制次数的，所以不要让它烂在行囊里了！
17,神机入梦活动中的经验和银两副本每天都会重置，前一天没使用的次数会刷新掉哦！
